CLAVE UR,SERIE,BN CARTA,BN OFICIO,BN DC,COLOR CARTA,COLOR OFICIO,ENVIAR,COPIAR
UR-114,CNBRP288JR,74,0,0,0,0,19,28
UR-00D,CNBRP288L9,0,0,0,0,0,0,0
UR-514,CNBRP288LG,60,0,0,0,0,7,1
UR-00D,CNBRP288M4,0,0,0,0,0,0,0
UR-00D,CNBRP288M6,0,0,0,0,0,0,0
UR-00D,CNBRP288MB,0,0,0,0,0,0,0
UR-00D,CNBRP288MF,0,0,0,0,0,0,0
UR-N00,CNBRP288MW,646,0,0,0,0,185,134
UR-700,CNBRP288N0,66,6,0,0,0,0,1
UR-00D,CNBRP288N4,0,0,0,0,0,0,0
UR-00D,CNBRP288N8,0,0,0,0,0,0,0
UR-00D,CNBRP288NL,0,0,0,0,0,0,0
UR-00D,CNBRP288NQ,0,0,0,0,0,0,0
UR-00D,CNBRP288NW,0,0,0,0,0,0,0
UR-00D,CNBRP288NX,0,0,0,0,0,0,0
UR-00D,CNBRP288P1,0,0,0,0,0,0,0
UR-00D,CNBRP288P8,0,0,0,0,0,0,0
UR-211,CNBRP288PK,14,0,0,0,0,0,0
UR-00D,CNBRP288PM,0,0,0,0,0,0,0
UR-00D,CNBRP288PS,0,0,0,0,0,0,0
UR-00D,CNBRP288PW,0,0,0,0,0,0,0
UR-700,CNBRP288Q2,635,2,0,0,0,582,131
UR-00D,CNBRP288Q5,0,0,0,0,0,0,0
UR-00D,CNBRP288QC,0,0,0,0,0,0,0
UR-00D,CNBRP288QH,0,0,0,0,0,0,0
UR-700,CNBRP288QK,1184,0,0,0,0,94,136
UR-00D,CNBRP288QN,0,0,0,0,0,0,0
UR-310,CNBRP288QR,199,0,0,0,0,109,23
UR-210,CNBRP288QW,1354,0,0,0,0,651,62
UR-00D,CNBRP288QZ,0,0,0,0,0,0,0
UR-118,CNBRP288RD,2463,1,0,0,0,76,119
UR-700,CNBRP288RH,824,0,0,0,0,141,5
UR-712,CNBRP288RL,2004,0,0,0,0,14,341
UR-511,CNBRP288RP,1447,0,0,0,0,472,175
UR-00D,CNBRP288RT,0,0,0,0,0,0,0
UR-00D,CNBRP288S0,0,0,0,0,0,0,0
UR-712,CNBRP288SB,427,0,0,0,0,584,151
UR-00D,CNBRP288SM,0,0,0,0,0,0,0
UR-00D,CNBRP288ST,0,0,0,0,0,0,0
UR-00D,CNBRP288SX,0,0,0,0,0,0,0
UR-710,CNBRP288T3,1376,0,0,0,0,3465,358
UR-712,CNBRP288T5,1737,1,0,0,0,898,338
UR-311,CNBRP288TB,669,100,0,0,0,564,119
UR-00D,CNBRP288TG,0,0,0,0,0,0,0
UR-00D,CNBRP288TP,0,0,0,0,0,0,0
UR-312,CNBRP288TR,901,0,0,0,0,43,133
UR-712,CNBRP288TZ,1172,0,0,0,0,601,423
UR-211,CNBRP288V4,92,0,0,0,0,128,11
UR-712,CNBRP288V7,3060,0,0,0,0,93,1230
UR-00D,CNBRP288VC,0,0,0,0,0,0,0
UR-00D,CNBRP288VK,0,0,0,0,0,0,0
UR-312,CNBRP288VP,170,0,0,0,0,79,63
UR-00D,CNBRP288VS,0,0,0,0,0,0,0
UR-312,CNBRP288VW,215,0,0,0,0,39,42
UR-514,CNBRP288W0,119,0,0,0,0,45,0
UR-00D,CNBRP288W8,0,0,0,0,0,0,0
UR-611,CNBRP288WF,291,0,0,0,0,2032,78
UR-N00,CNBRP288WJ,714,0,0,0,0,80,54
UR-00D,CNBRP288WP,0,0,0,0,0,0,0
UR-00D,CNBRP288X0,0,0,0,0,0,0,0
UR-00D,CNBRP288XN,0,0,0,0,0,0,0
UR-114,CNBRP288Y0,18,0,0,0,0,12,5
UR-00D,CNBRP288Z2,0,0,0,0,0,0,0
UR-311,CNBRP288Z6,4,0,0,0,0,1,0
UR-00D,CNBRP288ZK,0,0,0,0,0,0,0
UR-00D,CNBRP288ZN,0,0,0,0,0,0,0
UR-710,CNBRP288ZR,3366,0,0,0,0,4801,1174
UR-300,CNBRP288ZZ,562,0,0,0,0,301,76
UR-300,CNBRP28901,423,10,0,0,0,183,72
UR-173,CNBRP28906,6,0,0,0,0,0,0
UR-413,CNBRP2890K,211,0,0,0,0,7,28
UR-00D,CNBRP2890P,0,0,0,0,0,0,0
UR-710,CNBRP2890V,6698,17,0,0,0,6847,1028
